                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.67027,                0.46212,                0.88233,                0.98484,                0.99212,                0.99477,                0.85972,                0.56258,                0.41665,                0.84322,              0.0013268,              0.0013268,              0.0013268
                     37,                0.65766,                0.45684,                0.87378,                0.98886,                0.97964,                0.99436,                0.85961,                0.57661,                0.41152,                0.84202,               0.001307,               0.001307,               0.001307
                     38,                0.68796,                0.47835,                0.87742,                0.99228,                0.98143,                0.99445,                0.85616,                0.57964,                0.40453,                0.84247,              0.0012872,              0.0012872,              0.0012872
                     39,                0.66088,                0.46394,                0.86817,                0.99602,                0.99237,                0.99495,                 0.8655,                0.57223,                0.40321,                0.84072,              0.0012674,              0.0012674,              0.0012674
                     40,                 0.6578,                0.44854,                0.87764,                0.99151,                0.99237,                0.99479,                0.87387,                0.54779,                0.39445,                0.83799,              0.0012476,              0.0012476,              0.0012476
                     41,                0.62371,                0.43709,                0.86817,                0.98643,                0.99237,                0.99446,                0.86662,                0.55651,                0.39586,                0.83647,              0.0012278,              0.0012278,              0.0012278
                     42,                0.66317,                0.46249,                0.87536,                0.99501,                0.98219,                 0.9947,                0.87261,                0.56147,                0.39008,                0.83698,               0.001208,               0.001208,               0.001208
                     43,                 0.6701,                0.45247,                  0.873,                0.98953,                0.98982,                0.99485,                0.85834,                0.58944,                0.37908,                0.84198,              0.0011882,              0.0011882,              0.0011882
                     44,                0.68338,                0.46539,                0.88649,                0.99489,                0.99164,                0.99495,                0.84953,                0.64041,                0.40303,                0.85206,              0.0011684,              0.0011684,              0.0011684
                     45,                0.66163,                0.44871,                0.86505,                0.99819,                0.98728,                0.99482,                  0.876,                0.56195,                0.37801,                0.84055,              0.0011486,              0.0011486,              0.0011486
                     46,                0.62044,                0.43132,                 0.8692,                0.99399,                0.98728,                0.99487,                0.87764,                0.53748,                 0.3693,                0.83122,              0.0011288,              0.0011288,              0.0011288
                     47,                0.64864,                0.44505,                0.86501,                0.98706,                0.98982,                0.99405,                0.86421,                0.59109,                0.39234,                0.83974,               0.001109,               0.001109,               0.001109
                     48,                0.63898,                0.42354,                0.88061,                0.99744,                0.99112,                0.99497,                0.88314,                0.52605,                0.35226,                0.82915,              0.0010892,              0.0010892,              0.0010892
                     49,                0.59594,                0.41277,                0.86746,                0.99396,                0.99746,                0.99495,                0.88015,                0.49888,                0.34402,                0.81988,              0.0010694,              0.0010694,              0.0010694
                     50,                0.60939,                0.40736,                0.86821,                0.99493,                0.99921,                0.99495,                0.88686,                0.48816,                0.35127,                0.81824,              0.0010496,              0.0010496,              0.0010496
                     51,                0.56956,                0.39403,                0.84864,                 0.9949,                0.99187,                 0.9949,                0.88116,                0.50435,                0.34475,                0.82619,              0.0010298,              0.0010298,              0.0010298
                     52,                 0.5956,                 0.4016,                0.86112,                      1,                0.99229,                  0.995,                0.90513,                0.48554,                0.32856,                0.81755,                0.00101,                0.00101,                0.00101
                     53,                0.59075,                0.39844,                0.86583,                0.99743,                0.98719,                0.99485,                0.88546,                0.52833,                0.34103,                0.82457,              0.0009902,              0.0009902,              0.0009902
                     54,                0.59467,                0.42251,                0.87458,                0.99932,                0.98982,                0.99492,                0.89037,                 0.5155,                0.33736,                 0.8222,              0.0009704,              0.0009704,              0.0009704
                     55,                 0.5977,                0.40392,                0.86124,                0.99746,                0.99924,                0.99497,                0.88767,                0.51779,                0.33688,                0.82504,              0.0009506,              0.0009506,              0.0009506
                     56,                0.56928,                0.38985,                0.84874,                 0.9949,                0.99357,                0.99497,                0.87379,                 0.5126,                0.34258,                0.82239,              0.0009308,              0.0009308,              0.0009308
                     57,                0.60698,                0.39289,                0.85855,                0.99745,                0.99396,                0.99497,                0.89323,                0.49157,                0.33219,                0.81936,               0.000911,               0.000911,               0.000911
                     58,                0.56892,                0.39406,                0.85104,                0.99356,                0.99746,                0.99497,                0.89988,                0.47039,                0.32632,                0.81687,              0.0008912,              0.0008912,              0.0008912
                     59,                0.58252,                0.37478,                0.85283,                0.99746,                0.99802,                  0.995,                0.89974,                0.47425,                0.30707,                0.81532,              0.0008714,              0.0008714,              0.0008714
                     60,                0.53932,                0.36558,                0.84959,                      1,                0.99959,                  0.995,                0.89947,                 0.4812,                 0.3141,                0.81711,              0.0008516,              0.0008516,              0.0008516
                     61,                0.57032,                0.38993,                0.85544,                0.99956,                      1,                  0.995,                0.91464,                0.45634,                0.30573,                0.81313,              0.0008318,              0.0008318,              0.0008318
                     62,                 0.5525,                0.37872,                0.85127,                0.99242,                0.99941,                0.99497,                0.90833,                0.45254,                0.31489,                0.81263,               0.000812,               0.000812,               0.000812
                     63,                0.53598,                0.36066,                0.85209,                      1,                0.99971,                  0.995,                0.90924,                0.45471,                0.29646,                0.81184,              0.0007922,              0.0007922,              0.0007922
                     64,                0.53049,                 0.3705,                 0.8494,                0.99493,                0.99897,                  0.995,                0.90834,                0.45046,                0.30507,                 0.8097,              0.0007724,              0.0007724,              0.0007724
                     65,                0.55767,                0.36852,                0.85285,                0.99596,                0.99746,                  0.995,                0.89022,                0.49685,                0.31574,                0.81961,              0.0007526,              0.0007526,              0.0007526
                     66,                0.56091,                0.37342,                0.85304,                0.99686,                0.99746,                0.99497,                0.90238,                0.47288,                0.31008,                0.81532,              0.0007328,              0.0007328,              0.0007328
                     67,                 0.5563,                0.37195,                0.83953,                0.99704,                0.99746,                  0.995,                0.91134,                0.45178,                 0.3012,                0.81209,               0.000713,               0.000713,               0.000713
                     68,                0.53452,                 0.3487,                0.84354,                      1,                0.99729,                  0.995,                 0.9237,                0.42204,                0.28857,                0.80646,              0.0006932,              0.0006932,              0.0006932
                     69,                0.51507,                0.33718,                0.84312,                      1,                0.99731,                  0.995,                0.91676,                0.43006,                0.28775,                 0.8035,              0.0006734,              0.0006734,              0.0006734
                     70,                 0.5028,                0.34759,                 0.8482,                0.99492,                 0.9974,                0.99495,                0.90976,                0.45893,                0.29334,                  0.807,              0.0006536,              0.0006536,              0.0006536
                     71,                0.51284,                0.34681,                0.84232,                0.99493,                0.99948,                  0.995,                0.92145,                0.41973,                 0.2866,                0.80406,              0.0006338,              0.0006338,              0.0006338
                     72,                0.50591,                0.34018,                0.82637,                0.99241,                0.99867,                0.99492,                0.92449,                0.42041,                0.29045,                0.80587,               0.000614,               0.000614,               0.000614
                     73,                0.47839,                0.33794,                0.83752,                0.99399,                      1,                  0.995,                0.93061,                0.40496,                0.26977,                0.80138,              0.0005942,              0.0005942,              0.0005942
                     74,                0.50184,                0.34356,                0.84117,                0.99894,                      1,                  0.995,                0.93014,                 0.4101,                0.26981,                0.80116,              0.0005744,              0.0005744,              0.0005744
                     75,                0.49896,                0.32609,                0.84674,                0.99954,                0.99746,                  0.995,                0.92832,                0.40007,                0.27578,                0.79873,              0.0005546,              0.0005546,              0.0005546
                     76,                0.52096,                0.34415,                0.84675,                 0.9997,                0.99746,                  0.995,                0.92994,                0.41909,                0.28113,                0.80039,              0.0005348,              0.0005348,              0.0005348
                     77,                0.49192,                0.33011,                0.83632,                0.99493,                 0.9978,                  0.995,                0.92863,                0.41471,                0.27618,                0.80184,               0.000515,               0.000515,               0.000515
                     78,                0.47928,                0.32352,                 0.8377,                0.99909,                      1,                  0.995,                0.93113,                0.41396,                0.26593,                0.79976,              0.0004952,              0.0004952,              0.0004952
                     79,                 0.4862,                0.32978,                0.84001,                0.99962,                      1,                  0.995,                0.93373,                0.40476,                0.27073,                0.79865,              0.0004754,              0.0004754,              0.0004754
                     80,                0.49258,                0.32585,                0.83865,                0.99707,                      1,                  0.995,                0.92528,                0.40805,                0.26377,                0.79849,              0.0004556,              0.0004556,              0.0004556
                     81,                0.46171,                0.31236,                0.82959,                0.99737,                      1,                0.99497,                0.93629,                 0.3886,                0.25666,                0.79607,              0.0004358,              0.0004358,              0.0004358
                     82,                0.45296,                0.31482,                  0.832,                0.99439,                      1,                  0.995,                0.94151,                0.37197,                0.25967,                0.79434,               0.000416,               0.000416,               0.000416
                     83,                0.49121,                0.32397,                0.83817,                      1,                0.99961,                  0.995,                0.92845,                0.42776,                0.27067,                0.79864,              0.0003962,              0.0003962,              0.0003962
                     84,                0.47691,                0.30971,                0.82951,                      1,                0.99982,                  0.995,                0.94567,                 0.3688,                 0.2487,                0.79338,              0.0003764,              0.0003764,              0.0003764
                     85,                0.45314,                0.29577,                0.83314,                0.99957,                      1,                  0.995,                0.93488,                0.38092,                0.24957,                 0.7929,              0.0003566,              0.0003566,              0.0003566
                     86,                0.44104,                0.29651,                0.83153,                 0.9995,                      1,                  0.995,                 0.9415,                0.37032,                0.24604,                0.79226,              0.0003368,              0.0003368,              0.0003368
                     87,                 0.4611,                0.31004,                 0.8318,                0.99699,                      1,                  0.995,                0.95218,                 0.3599,                0.24287,                0.79127,               0.000317,               0.000317,               0.000317
                     88,                0.44393,                0.29966,                0.82431,                0.99719,                      1,                  0.995,                0.94727,                0.37252,                0.25011,                0.79296,              0.0002972,              0.0002972,              0.0002972
                     89,                0.47503,                0.30719,                0.82495,                0.99931,                      1,                  0.995,                0.94567,                0.35258,                0.24558,                0.79138,              0.0002774,              0.0002774,              0.0002774
                     90,                0.45077,                0.29882,                0.83799,                0.99932,                      1,                  0.995,                0.94673,                0.35022,                0.23899,                 0.7901,              0.0002576,              0.0002576,              0.0002576
                     91,                0.43454,                0.28005,                 0.8055,                0.99694,                      1,                  0.995,                0.94387,                0.36777,                0.24988,                0.79159,              0.0002378,              0.0002378,              0.0002378
                     92,                0.42645,                0.27628,                0.81417,                0.99904,                      1,                  0.995,                0.95243,                0.34917,                0.24557,                 0.7886,               0.000218,               0.000218,               0.000218
                     93,                0.44468,                0.27811,                0.81468,                0.99958,                      1,                  0.995,                0.94347,                   0.37,                0.24896,                0.79098,              0.0001982,              0.0001982,              0.0001982
                     94,                0.42081,                0.28169,                0.81285,                 0.9996,                      1,                  0.995,                0.94785,                 0.3471,                0.24285,                0.78852,              0.0001784,              0.0001784,              0.0001784
                     95,                 0.4191,                0.26826,                0.80422,                0.99969,                      1,                  0.995,                0.95228,                0.33534,                0.23637,                 0.7877,              0.0001586,              0.0001586,              0.0001586
                     96,                0.39926,                0.26274,                0.79798,                0.99954,                      1,                  0.995,                0.95243,                0.33746,                0.23297,                0.78761,              0.0001388,              0.0001388,              0.0001388
                     97,                0.38474,                 0.2563,                0.80522,                0.99936,                      1,                  0.995,                 0.9546,                0.33669,                0.23295,                0.78762,               0.000119,               0.000119,               0.000119
                     98,                0.38411,                 0.2565,                0.79975,                0.99943,                      1,                  0.995,                0.95249,                0.33168,                0.23002,                0.78764,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.38713,                0.24915,                0.80164,                0.99948,                      1,                  0.995,                  0.957,                 0.3274,                 0.2287,                0.78695,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.38076,                0.25153,                0.80029,                0.99943,                      1,                  0.995,                0.95872,                0.32418,                0.22768,                0.78616,               5.96e-05,               5.96e-05,               5.96e-05
